[ə'bændən] v./n.放弃；放纵
[dis'pætʃ] v.(快速)派遣；一下子做完；(快速)吃完；n.迅速
[dis'pel] v.驱散，消除
[dis'pensəbl] a.不必要的，可有可无的
[dis'pens] v.分配，分发
[dis'pə:s] v.消散，驱散
[dis'pleis] v.换置；使某人某物离开原位
[dis'pəuzəbl] a.一次性使用的；可动用的
[dis'pəuzəl] n.清除
[dis'pəuz] v.使倾向；处理掉
[di'spəuzd] a.愿意的，想干的
[,dispə'ziʃən] n.安排，处置；天性，气质
['dispru:f] n.反证，反驳
[dis'pru:v] v.证明„有误
[dis'pju:t] v.争论
[,disri'ɡɑ:d] v./n.疏忽，漠视
[,disri'pju:t] n.名声不好
[dis'rʌpt] v.弄乱，扰乱
[dis'rʌptiv] a.制造混乱的
[di'sekt] v.解剖
[di'sembl] v.隐藏，掩饰(感受、意图)
[di'semineit] v.散布，传播
[di'sent] v.不同意，持异议
[,disə(:)'teiʃən] n.专题论文
['disidənt] n.唱反调者
[di'simjuleit] v.隐藏，掩饰
['disipeit] v.(使)驱散；浪费
[di,səusi'eiʃən] n.分离，脱离关系
['disəlju:t] a.放荡的，行为不检的
[di'zɔlv] v.使固体溶解
['disənənt] a.不和谐的，不一致的
[di'sweid] v.劝阻，阻止
['distənt] a.疏远的，冷淡的
[dis'tend] v.(使)膨胀，胀大
[dis'tenʃən] n.膨胀
[di'stil] v.蒸馏
[dis'tiŋkt] a.清楚的，明显的
[dis'tiŋkʃən] n.区别，差别；知名
[dis'tiŋktiv] a.出众的，有特色的
[dis'tiŋɡwiʃt] a.著名的，卓越的
[dis'tɔ:t] v.扭曲，弄歪
[dis'trækt] v.分心；使发狂，困扰
[dis'træktid] a.精神不集中的
[dis'trɔ:t] a.心神狂乱的
[dis'tres] n.痛苦，悲痛
[dis'tribju(:)t] v.分发，分配某事物
['distrikt] n.地区，行政区，（美国各州的）众议院选区
['diti] n.小曲，小调
[dai'ə:nl] a.白昼的，白天的
['di:və] n.歌剧中的首席女主角
['daivə] n.潜水员
[dai'və:dʒ] v.（意见）分歧；（线路、道路）分开
[dai'və:dʒənt] a.分叉的，岔开的
[dai'və:s] a.不同的；多样的
[dai'və:siti] n.多样，千变万化
[di'və:t] v.使某事物转向；使娱乐
[dai'vest] v.脱衣，卸下盛装；剥夺
[dai'vestitʃə] n.脱衣，卸下装饰；剥夺财产；取消称号
[di'vain] v.占卜，卜测；a.神的
[dai'vʌldʒ] v.泄露，透露
['dəusail] a.驯服的，听话的
[,dɔktri'neə] n.空论家；a.教条的，迂腐的
['dɔktrin] n.教义，主义；学说
['dɔkjumənt] v.为„提供书面证明
['dɔdə] v.蹒跚，摇摆
[dɔdʒ] v.闪开，躲避
[dɔf] v.脱掉
['dɔɡid] a.顽强的
['dɔɡərəl] n.歪诗，打油诗
['dɔɡmə] n.教条，信条
['dɔɡmətizəm] n.教条主义，武断
['dɔldrəmz] n.赤道无风带；情绪低落
['dəulful] a.忧愁的，消沉的
['dɔlərəs] a.悲哀的，忧愁的
[dəult] n.傻瓜
[dəu'mein] n.领土；领域
[dəum] n.圆顶屋
[də'mestikeit] v.驯养
['dɔmisail] n.住处，住所
['dɔminənt] a.(生)(遗传特征)显性的，优势的；最重要的，占支配地位的
['dɔmineit] v.控制，支配
[,dɔmi'neiʃən] n.控制，支配，管辖
[dəu'neit] v.捐赠，赠送
['dəunə] n.捐赠者，赠送者；献血者
['du:dl] v.胡乱画；混时间
['dɔ:mənsi] n.休眠状态
['dɔ:mənt] a.冬眠的；静止的
['dɔ:səl] a.背部的
[dəus] n.[药]剂量，一剂
['dɔsiei] n.卷宗，档案
[dəut] v.溺爱；昏聩(to be foolish or weak minded)
['dəutiŋ] a.溺爱的
[duə] a.严厉的，脸色阴沉的
[daus] v.把„浸入水中；熄灭
[daun] n.绒毛；汗毛
['daunplei] v.贬低，不予重视
['daunpɔ:] n.暴雨
[daun tə ə:θ] n.脚踏实地的，实际的
['dɔiən] n.老前辈
[dræb] a.枯黄色的；单调而无聊的
[drə'kəuniən] a.严厉的，严酷的
[drɑ:ft] n.草稿，草案；汇票
['drɑ:ftsmənʃip] n.起草术，制图术
[drein] v.排出沟外；喝光
['dreinidʒ] n.排水；污水
['dræstik] a.猛烈的，激烈的
['drɔ:,bridʒ] n.吊挢
[drɔ:l] v./n.慢吞吞地说话
['driəri] a.沉闷的，乏味的
[dreɡz] n.沉淀废物
[drentʃ] v.使湿透
[drentʃ] a.湿透的
[dril] n.钻；钻床
['drivl] n./v.说废话
['drizl] v.下毛毛雨；n.毛毛雨
['drizli] a.毛毛细雨的
[drəul] a.古怪的，好笑的
[drəun] v.嗡嗡地响，单调地说；n.单调的低音
[dru:p] v.低垂；沮丧，萎靡
['drɔplit] n.小水滴
[drɔs] n.金属浮渣；糟粕
[draut] n.干旱；干旱时期
[drəuv] n.畜群；人群
['drʌdʒəri] n.苦活
['dju(:)əl] a.双重的
['dju:bjəs] a.可疑的；名声不大好的
['dʌkliŋ] n.雏鸭，小鸭
[dʌkt] n.管道，槽
['dju(:)əl] n.决斗
[dju:'et] n.二重唱
[dʌl] a.不鲜明的；迟钝的；v.变迟钝
['dʌmi] n.人体模型，假人
[dju:n] n.沙丘
[dju:p] n.上当受骗的人
[dju'plisətəs] a.搞两面派的，奸诈的；双重的
[dju(:)'plisiti] n.欺骗，口是心非
[djuə'reiʃən] n.持续的时间
[djuə'res] n.胁迫
['dju:tiful] a.恭敬顺从的，尽职的
[dwɔ:f] n.侏儒；矮小的植物；v.使变矮小
['dweliŋ] n.住处
['dwindl] v.变小
[dai'næmik] a.动态的；有活力的
['dainəməu] n.发电机
[dis'fʌŋkʃənəl] a.功能失调的
[dis'leksiə] n.阅读障碍
[dis'peptik] a.消化不良的；不高兴的
['ə:nist] a.认真的
['iəplʌɡ] n.耳塞
['iəriŋ] n.耳环，耳饰
['iəʃɔt] n.听力所及范围
['iə,splitiŋ] a.震耳欲聋的
['ə:θli] a.现世的；尘世的(非精神上的)
['ə:θi] a.粗俗的，粗陋的
['i:zl] n.黑板，画架
['i:vzdrɔp] v.偷听，窃听
[eb] v.退潮；衰退
[i'bʌljəns] n.兴冲冲，亢奋
[ik'sentrik] a.古怪的，反常的；n.古怪的人
[ek'lektik] a.折衷的，综合性选择的
[e'klektisizəm] n.折衷主义
[i'kɔlədʒist] n.生态学家，生态学者
[,i:kə'nɔmikəl] a.节约的
['ekstəsi] n.狂喜；激情状态
[eks'tætik] a.狂喜的，心花怒放的
['edi] n.漩涡，涡流
['edifis] n.宏伟的建筑(如宫殿、教堂)
['edifai] v.(思想)陶冶，启发
[i'feis] v.擦掉，抹去
[,efə'ves] v.(液体)冒泡；(人)活跃、兴奋
[e'fi:t] a.无生育力的；虚弱的
[,efi'keiʃəs] a.有效的
['efikəsi] n.功效，有效性
[i'flu:vjə] n.气味，恶臭；废料
[e'frʌntəri] n.厚颜无耻
[i'fʌldʒənt] a.(光线)灿烂的
[i,ɡæli'teəriən] a.主张人人平等的
[,i:ɡəu'sentrik] a.利己的
['i:ɡəutist] n.自私自利者
[i'ɡri:dʒəs] a.(缺点等)过分的，惊人的
['i:ɡres] n.出去，出口
[i'læbərət] a.精致的，复杂的；v.详尽地说明，阐明
[i,læbə'reiʃən] n.详细的细节，详尽阐述
[i'leitid] a.兴高采烈的，情绪高昂的
['elbəu] n.肘
['elidʒi] n.哀歌，挽歌
[,eli'mentəri] a.初级的
[,eli'fæntain] a.笨拙的；庞大的
['eliveit] v.将„举起
[i'lisit] v.引出，探出
['elidʒəbl] a.合格的
[i'limineit] v.除去，淘汰
[ei'li:t] n.精华，中坚
[i'lipsis] n.省略
[i'liptikəl] a.椭圆的；含糊的；省略的
[elm] n.榆树
[,elə'kju:ʃən] n.演说术
['i:lɔŋɡeit] v.延长，伸长
['eləkwəns] n.雄辩，口才，精彩演讲
[i'lju:sideit] v.（清晰）阐明，说明
[i'lju:d] v.逃避；不理解，不记得
[i'lju:siv] a.难懂的
[i'meiʃieit] v.使„瘦弱；消瘦
[i,meiʃi'eiʃən] n.消瘦，衰弱
['eməneit] v.发源
[i'mænsipeit] v.解放，解除束缚
[em'bɑ:ɡəu] n.禁运令，封港令
[im'bærəs] v.使忸怩，使难堪
[im'bed] v.牢牢插入，嵌于
[im'beliʃ] v.装饰，润饰
[im'bezlmənt] n.贪污，盗用
[,embli'mætik] a.作为象征的
[im'bɔdi] v.(作品等)表达，体现
[im'bəuldən] v.鼓励，给予信心
[im'bɔs] v.（装饰）加浮雕花纹于，使凸出
[im'breis] v.拥抱；包含
[im'brɔidə] v.刺绣，修饰
[i'mend] v.订正，校订
[i'mə:dʒnsi] n.紧急事件
['emiɡreit] v.自本国移居他国
['eminəns] n.卓越，杰出
['eminənt] a.著名的，显著的
['emisəri] n.密使；特使
[i'mit] v.放射(光、热、味等)
[i'mɔliənt] n.润肤剂
[i'məut] v.激动地表达感情
['empəθi] n.心意相通，(感情等)融为一体
[im'fætik] a.重视的，强调的
[em'pirikəl] a.以经验或观察为根据的
[em'pirisizəm] n.经验主义
[im'pauə] v.授权给某人采取行动
[,empai'ri:əl] a.天空的
['emjuleit] v.努力赶上或超越
[i'mʌlsifai] v.使乳化
[i'nækt] v.制定(法律)；扮演(角色)
[i'næməl] n.珐琅，瓷釉,搪瓷
[i'næməd] a.珍爱的，喜爱的
[in'kæpsjuleit] v.装入胶囊；概括，成为典型，成为缩影
[in'tʃɑ:nt] v.使迷醉；施魔法于
[in'kləuʒə] n.圈地，围占
[en'kəumiæst] n.赞美者
[en'kəumjəm] n.赞颂，颂辞
[in'kʌmpəs] v.包围，围绕
[in'kauntə] v.遭遇
[in'krəutʃ] v.逐步侵占，蚕食
[in'kʌmbə] v.妨害，阻碍
[en,saikləu'pi:diə] n.百科全书
[in'diəriŋ] a.讨人喜欢的
[en'demik] a.地方性的
[in'dɔ:s] v.(支票)背面签字；公开赞同
[in'dau] v.资助，捐助
[in'djuə] v.忍受，忍耐
[in'djuəriŋ] a.持续的
['enə:veit] v.使虚弱，使无力
[in'fi:bl] v.使衰弱
[en'fetə] v.给„上脚镣；束缚，使受制于
[en'fleim] v.使愤怒或激动
[in'ɡeidʒd] a.忙碌的；使用中的，被占用的
[in'ɡeidʒiŋ] a.迷人的，吸引注意的
[in'dʒendə] v.产生，引起
[in'ɡreiv] v.在(硬物)上雕刻
[in'ɡrəus] v.全神贯注于
[in'ɡʌlf] v.吞噬
[in'hɑ:ns] v.提高，增加，改善
[in'dʒɔin] v.命令，吩咐
[in'laitn] v.启发，开导，教导，授予„知识
[in'laitniŋ] a.有启迪作用的；使人领悟的
[in'list] v.(使)入伍从军，征募
[in'laivən] v.使„更活跃
[in'meʃ] v.通常被动)绊住，陷入网
['enmiti] n.敌意，仇恨
['ɑ:nwi:] n.倦怠，无聊，不兴奋；v.使无聊
[i'nɔ:miti] n.极恶；暴行；巨大
[i'nɔ:məs] a.极大的，巨大的
[in'reidʒ] v.激怒，触怒
[in'ræptʃə] v.使狂喜，使高兴
[in'skɔns] v.安置，安坐
[ɑ:n'sɑ:mbl] n.全体；大合唱
['ensn] n.舰旗(船上表示所属国家的旗帜)
[in'sju:] v.继而发生
[in'ʃuə] v.确保，担保
[in'teil] v.需要，需求，必须
[in'tæŋɡl] v.使纠缠，卷入
['entəpraiz] n.公司，事业单位；进取心
[in'θrɔ:liŋ] a.迷人的，吸引人的
[in'tais] v.怂恿，引诱
[in'taiəti] n.整体，全面
[in'taitl] v.使有权(做某事)
['entiti] n.实体，统一体
[in'trɑ:ns] v.使出神，使入迷；n.入口
[in'trɑ:nsiŋ] a.使人入神的
[in'tri:t] v.恳求
[in'tri:ti] n.恳求，哀求
['ɔntrei] n.正餐前的开胃菜；获准进入的权利
[,ɔntrəprə'nə:] n.企业家，创业人
[in'trʌst] v.委托；托付
['entri] n.条目；登录；报关手续；入口
[i'nju:məreit] v.列举，枚举
[i'nʌnsieit] v.（清楚地）发音；(清楚地)表达
[in'vaiərən] v.包围，围绕
[in'viʒən] v.想象，预想
['enzaim] n.酵素，酶
['epəulet] n.肩章，肩饰
[i'femərəl] a.朝生暮死的，短暂的；生命短暂的
['epik] n.叙事诗，史诗；a.英雄的；大规模的
['epikjuə] n.美食家
[,epi'demik] a.传染性的，流行性的
[,epi'də:mis] n.表皮，外皮
['epiɡræm] n.讽刺短句，警句
['epilɔɡ] n.收场白；尾声
[epi'sɔdik] a.偶然发生的，分散性的
['epitɑ:f] n.墓志铭
['epiθet] n.(贬低人的)短语或形容词
[i'pitəmi] n.典型；梗概，摘要
[i'pitəmaiz] v.概括，摘要，成为典型，成为缩影
['i:pɔk] n.纪元；重大的事件
['ekwəbl] a.稳定的，不变的；(脾气)温和的
[,i:kwə'nimiti] n.心情平静，情绪镇定
[i'kweit] v.认为„相等或相仿
[i'kweiʃən] n.等式；等同，相等
[i'kweitə] n.赤道
[,i:kwi'libriəm] n.平衡
['i:kwain] a.马的，似马的
['ekwiti] n.公平，公正
[i'kwivələnt] a.相等的，等值的
[i'kwivəkeit] v.模棱两可地说，支吾其词，说谎
[i,kwivə'keiʃən] n.模棱两可的话，含糊话
[i'rædikeit] v.根除；扑灭
[i'reiz] v.擦掉，抹去
[i'reiʒə] n.擦掉
[i'rekt] a.竖立的，笔直的，直立的
[ə:] v.犯错误，出错
['erənd] n.差使；差事
[i'rætik] a.反复无常的；古怪的
[eə'zɑ:tz] a.代用的，假的
['ə:stwail] a.从前的，过去的
['eru:dait] a.博学的，饱学的
[i'rʌpt] v.爆发；喷出(熔岩、水、气体、泥浆等)
['eskəleit] v.(战争等)升级；(快速)扩大，上升
[,eskə'leiʃən] n.逐步上升，逐步增强
[is'keipizəm] n.逃避现实(的习气)
[is'tʃu:] v.避开，戒绝
[i(:)'sɔfəɡəs] n.食道，食管
[,esəu'terik] a.难懂的，神秘的
['espiənidʒ] n.间谍活动
[is'pəuzəl] n.拥护，支持
[is'pauz] v.支持，拥护
[is'pai] v.(从远处等)突然看到
[i'senʃəl] a.本质的；n.要素，实质
['estiməbl] a.值得尊敬的；可估计的
[i'streindʒd] a.疏远的，分开的，分离的
[etʃ] v.蚀刻；铭记
['etʃiŋ] n.蚀刻术；蚀刻板画
[i(:)'tə:nl] a.永久的，永恒的，不朽的
[i'θiəriəl] a.太空；轻巧的
['eθiks] n.伦理学；道德规范
['eθnik] a.种族的
[eθ'nɔlədʒi] n.人种学
['i:θɔs] n.(个人、团体或民族)道德风貌，思潮，信仰
['etiket] n.礼仪；礼节
[,eti'mɔlədʒi] n.语源学
[,ju:kə'liptəs] n.桉树
[,ju:lə'dʒistik] a.颂扬的，歌功颂德的
['ju:lədʒaiz] v.称赞，颂扬
['ju:lədʒi] n.颂词，颂文
['ju:fimizəm] n.婉言，委婉的说法
[ju:'fəuniəs] a.悦耳的
[ju:'fɔ:riə] n.幸福愉快感
[i'vækjueit] v.撤退；撤离
[i'veid] v.逃避；规避
[i,vælju'eiʃən] n.评价，评估
[,i:və'nesnt] a.迅速消失的，短暂的
[i'væpəreit] v.(使某物)蒸发掉
[i'veiʒən] n.躲避；借口
[i'veisiv] a.迥避的，逃避的；托辞的
['i:vən] a.平的
[,ivən'hændid] a.公平的，不偏不倚的
[i'vikt] v.(依法)驱逐
[i'vikʃən] n.(对房客或佃户的)驱逐
[i'vins] v.表明，表示，表现出
[i'vɔkətiv] a.唤起的，激起的
[i'vəuk] v.引起；唤起
[i'vɔlv] v.使逐渐形成，进化
[ju:] n.母羊
['ju(:)ə] n.大口水罐
[eks'æsə(:)beit] v.(病、疼痛)加重，恶化
[iɡ'zækt] a.精确的；v.强求，强索付款
[iɡ'zæktiŋ] a.苛求的；要求严格的
[iɡ'zæktitju:d] n.极端的正确性或精确性
[iɡ'zædʒəreit] v.夸张；夸大
[iɡ,zædʒə'reiʃən] n.夸张
[iɡ'zɔ:lt] v.(高度)赞扬，歌颂
[,eɡzɔ:l'teiʃən] n.(成功带来的)得意，高兴
[iɡ'zɑ:spəreit] v.激怒，使恼怒
['ekskəveit] v.挖掘；挖出
[ik'si:d] v.超过；超出
[ik'sel] v.善于，擅长于
[ik'sepʃənl] a.特别(好)的
['ekses] n.过分，过度
[ek'saiz] v.切除，删去
[ik,saitə'biliti] n.易兴奋性，易激动性
[iks'kleim] v.惊叫，呼喊
[,eksklə'meiʃən] n.惊叹词；惊呼
[iks'klu:d] v.排斥；排除
[iks'klu:siv] a.(人)孤僻的；(物)专用的
[eks'kɔ:rieit] v.撕去皮；严厉批评
[eks'kri:t] v.排泄，分泌
['ekskʌlpeit] v.开脱，申明无罪
[iks'kə:ʃən] n.短途旅游
[iks'kə:siv] a.离题的
['eksikrəbl] a.极坏的
['eksikreit] v.憎恶；咒骂
['eksikju:t] v.执行，履行；将某人处死
[iɡ'zempləri] a.可作楷模的
[iɡ'zemplifai] v.是„的典型；举出„的例子
[iɡ'zempt] a.被免除的；v.使免除
[iɡ'zə:t] v.运用(力量等)
[eks'heil] v.呼出(气)
[iɡ'zɔ:st] n.(机器排出的)废气，蒸气；v.使非常疲倦
[iɡ'zɔ:stiv] a.彻底的，无遗漏的
[iɡ'ziləreit] v.使高兴
[iɡ,zilə'reiʃən] n.高兴，活跃
[iɡ'zɔ:t] v.力劝，劝告
['eksidʒənt] a.需要立即采取行动的
[,eɡzis'tenʃəl] a.有关存在的，存在主义的
['eksədəs] n.大批离去，成群外出
[iɡ'zɔnəreit] v.免除责任；确定无罪
[iɡ'zɔ:bitənt] a.过分的，过度的
['eksɔ:saiz] v.驱魔；去除(坏念头等)
[iɡ'zɔtik] a.珍奇的；来自异国的
[iks'pænd] v.扩大，膨胀
[iks'pænsiv] a.(指人)健谈的，开朗的；可扩大的，可伸展的
[ik'spi:diənsi] n.(未必正当的)便利；有益但未必正当的举措，权宜之计
[iks'pi:diənt] n.权宜之计，(未必正当的)临时手段；a.(指行动)有用的
[ekspi'diʃəs] a.迅速的，敏捷的
[iks'pel] v.排出；开除
[iks'pend] v.花费；用光
[iks'penditʃə] n.消耗，支出
[,ekspə'ti:z] n.专门技术，专业知识
['ekspieit] v.赎罪，补偿
[,ekspaiə'reiʃən] n.期满，终止
[iks'paiə] v.期满；去世
['eksplikeit] v.详细解说（思想、作品等）
[iks'plisit] a.清楚明确的；成熟的，成型的
[iks'plɔit] v.剥削；开发利用；n.英勇行为
[iks'pləusiv] n.炸药；a.(化)爆炸性的；使人冲动的
[eks'pəunənt] n.说明者，支持者；指数
[,ekspəu'nenʃəli] adv.指数地；迅速增长地
[,ekspə'ziʃən] n.详细阐释；博览会
[iks'pɔzi,təri] a.说明的
[iks'pɔstjuleit] v.(对人或行为进行)抗议
[iks'pəuʒə] n.暴露，显露，曝光
[iks'paund] v.解释，详细阐述
[iks'presli] adv.清楚地；专门地，特意地
[eks'pʌndʒ] v.(从书中)删除(字、词)
['ekspə:ɡeit] v.(从书中)删除(不当或令人反感的部分)
['ekskwizit] a.精致的；近乎完美的
[eks'tænt] a.现存的
[eks,tempə'reinjəs] a.即兴的，没有准备的
[eks'tempəraiz] v.即兴席演说
[iks'tend] v.延展，延长；舒展（肢体）
[iks'tenjueit] v.（提出借口以）减轻罪过
[iks'tə:mineit] v.消灭，灭绝(种族、人、动物)
[eks'tə:nə,laiz] v.使„表面化
[iks'tiŋkt] a.绝种的，不存在的
[iks'tiŋkʃən] n.熄灭；消灭
[iks'tiŋɡwiʃ] v.使„熄灭；使„不复存在
[,ekstə'peiʃn] n.根除，铲除（某实物或现象）
[iks'tɔl] v.赞美
[iks'tɔ:t]v,强索，敲诈v.强索，敲诈(钱)
[iks'trækt, 'ekstrækt] v.拔出；强索(钱或信息)
[eks'treinjəs] a.来自外部的；无关的
[eks'træpəleit] v.由已知事实预测，推测；(数)由已知值推出未知量
[ik'strævəɡəns] n.奢侈，挥霍
[iks'tri:mist] n.极端主义者
['ekstrikəbl] a.可解救的，能脱险的
['ekstrikeit] v.拯救，救出
['ekstrəuvə:t] n.性格外向者
[iɡ'zju:bərəns] n.(人)愉快；(植物)茁壮，茂盛
[iɡ'zju:bərənt] a.(人)充满活力的；(植物)茂盛的
[iɡ'zju:d] v.(液体)使慢慢流出；四溢
[iɡ'zʌlt] v.欢腾，喜悦
['fæbrik] n.纺织品；结构
['fæbrikeit] v.捏造；制造
[fə'sɑ:d] n. 建筑物的正面；(虚伪)外表
['fæsit] n.(宝石等的)小平面；侧面
[fə'si:ʃəs] a.（不当）轻浮的，好开玩笑的
['fæsail] a.容易做成的；肤浅的
[fə'siliteit] v.使容易，促进
[fə'silətiz] n.(使事情便利的)设备、工具
['fækʃən] n.派系；派系斗争
[fæk'tɔrəbl] a.能分解成因子的
[fæk'təutəm] n.杂役，杂工
['fæktjuəl] a.真实的，事实的
['fækəlti] n.全体教员；感官功能
[fæd] n.(流行一时的)狂热，时尚
['fædiʃ] a.流行一时的，时尚的
[feid] v.褪色，消失，凋谢
['fælkən] n.猎鹰；隼
[fə'leiʃəs] a.欺骗的；谬误的
['fæləsi] n.谬误，错误
[,fæli'biliti] n.易于出错，出错性
['fæləbl] a.（人）会犯错的，易犯错的
['fæləu] n.休耕地；a.(土地)休耕的
['fɔ:lshud] n.谎言
['fɔ:ltə] v.摇晃，蹒跚；结巴地说，支吾地说
[fə,mili'æriti] n.精通；亲近；不拘礼仪
['fæmin] n.饥荒
['fæmiʃ] v.使饥饿
[fə'nætik] n.狂热者
[fæŋ] n.(毒蛇的)尖牙
['fæntəsi] n.想象，幻想
[fɑ:s] n.闹剧；荒谬，胡闹
['feə'wel] interj.再会，再见；n.辞行，告别
[fɑ:'ri:tʃiŋ] a.影响深远的
[fɑ:st] n.绝食，斋戒；adv.很快地，紧紧地
['fɑ:sn] v.使„固定(to fix sth. firmly)
[fæs'tidiəs] a.难取悦的，挑剔的
['fɑ:stnis] n.要塞，城堡
['feitl] a.致命的；灾难性的
['fæðəm] n.英寻(量水深用，相当于.米)；v.彻底明白，了解
[fə'ti:ɡ] n.疲乏，劳累
['fætən] v.使长肥；使土壤肥沃；装满
[fə'tju(:)iti] n.愚蠢，愚昧
['fætjuəs] a.愚昧而不自知的
['fɔ:sit] n.水龙头
[fɔ:lt] n.错误；(地质学)断层
['fɔ:lt,faində] n.喜欢挑剔的人
['feivərəbl] a.有利的；赞成的
[fɔ:n] n.未满周岁的小鹿；v.巴结，奉承
[feiz] v.使„狼狈，使„慌张
['fi:zibl] a.可行的，可能的
[fi:t] n.功绩，壮举
['fi:tʃə] n.特色，特点，特征
['feklis] a.效率低的；不负责任的；无长久目标、无长久计划的
[fi'kʌndəti] n.多产，富饶；繁殖力，生殖力
['fi:bl] a.虚弱的
['fi:dbæk] n.(信息的)反馈
[fein] v.假装，伪装
[feind] a.假装的；不真诚的
[feint] v./n.佯攻，佯击
[fi'lisitəs] a.(话语等)适当的，得体的
[fel] n.兽皮；v.砍伐；a.凶猛的，可怕的
['felən] n.重罪犯
['feləni] n.重罪
['feminist] n.女权运动者
['fendə] n.挡泥板；护舷的垫子等
['fiərəl] a.凶猛的，野的
['fə:mənt] v./n.(使)发酵；骚动
[,fə:men'teiʃən] n.发酵
[fə:n] n.羊齿植物，蕨
['ferit] n.雪貂；v.用雪貂猎取；搜寻
['ferəs] a.含铁的
['fə:tail] a.多产的；肥沃的
['fə:tilaiz] v.受精，受粉；施肥
['fə:ti,laizə] n.肥料，化肥
['fə:vid] a.热情的
['fə:və] n.热诚，热心
['festə] v.(指伤口)溃烂，化脓
['festiv] a.欢乐的
['fetid] a.有恶臭的
['fetə] n./v.(带)脚镣；束缚
['fi:təs] n.胎儿
[fju:d] n.宿怨，不和
[fi'æskəu] n.大失败，惨败
['faiæt] n.命令
['fikl] a.(爱情或友谊上)易变的，不坚定的
[fik'tiʃəs] a.假的；虚构的
['fidʒit] v.坐立不安；n.烦躁之人
[fiɡ] n.无花果；一点儿
['fiɡmənt] n.虚构的东西
['fiɡjurətiv] a.比喻的，借喻的
['fiɡəhed] n.名义领袖；傀儡
['fiɡjuri:n] n.小塑像，小雕像
[fail] n.锉刀；v.锉平
['filibʌstə] v./n.以冗长演说妨碍、阻挠(法案或议事的通过)
['filiɡri:] n.金银丝做的工艺品
['failiŋz] n.锉屑
['fili] n.小母马
['filtə] n.滤纸；v.过滤
[filθ] n.肮脏，污物；下流的语言
[fi'nɑ:li] n.最后，最终；乐曲的最后部分
[fi'nes] n.技巧；计谋；手段
['finiki] a.苛求的，过分讲究的
['fainait] a.有限的
['faiərɑ:m] n.(便携式)枪支
['faiəflai] n.萤火虫
['fiskəl] a.国库的，财政的
['fiʃə] n.深长的裂缝，裂隙
['fikseit] v.使固定，使不变；注视，凝视
['flæksid] a.松弛的；软弱的
[flæɡ] v.减弱，衰退；（植物）枯萎
['flæɡiŋ] a.下垂的；衰弱的
['flæɡi] a.枯萎的；松软无力的
['fleiɡrənt] a.臭的，恶名昭彰的
[fleil] n.连枷(打谷工具)；v.（用连枷）打，打击
[flæk] n.高射炮；指责
[flæm'bɔiənt] a.艳丽的；(性格)炫耀的，奢华的
['flæməbl] a.易燃的
[flændʒ] n.(火车车轮的)凸缘，轮缘
[fleə] n./v.(火焰)摇曳，闪耀
[flɑ:sk] n.烧瓶，细颈瓶
['flætkɑ:(r)] n.平台型铁路货车
['flætn] v.变平；彻底打败某人
['flætə] v.恭维，奉承
[flɔ:nt] v.（贬义）炫耀，张扬
[flɔ:nti] a.炫耀的，张扬的
[flɔ:] n.瑕疵；v.生裂缝；有瑕疵
[flæks] n.亚麻
[fledʒ] v.小鸟长飞羽，变得羽毛丰满
['fledʒliŋ] n.正在学习飞行的幼鸟；无经验的人
['fli:tiŋ] a.短暂的，飞逝的
['fleksəbl] a.易弯曲的；灵活的
[flait] n.飞行，飞翔；逃跑
['flimzi] a.轻而薄的；不结实的，易坏的
[flinʃ] v.畏缩，退缩
[flint] n.打火石，燧石
[flip] v.用指轻弹；蹦跳；a.无礼的
['flipənt] a.无礼的；轻浮的、不严肃的
[flə:t] v.挑逗，调情
[flit] v.掠过，迅速飞过
[flɔk] n.羊群；鸟群
['flʌdɡeit] n.(水闸的)闸门
['flɔ:rə] n.(某地区或时代的)植物群
['flɔrid] a.华丽的；(脸)红润的
['flaundə] v.挣扎；艰难地移动；n.比目鱼
['flʌriʃ] v.昌盛，兴旺；活跃而有影响
[flaut] v.蔑视，违抗
['flʌktjueit] v.波动；变化
['flʌfi] a.有绒毛的；空洞的
[flu:k] n.侥幸；意想不到的事
[fluə'resənt] a.萤光的，发光的
[flʌʃ] n./v.脸红；奔流；冲洗
['flʌstəd] a.慌张的
['flʌtə] v.拍翅
['flu:viəl] a.河流的，生长在河中的
[flʌks] n.不断的变动；动荡不定
['fɔibl] n.小缺点，小毛病
[fɔil] n.钝剑；箔，锡箔纸；v.阻止，挫败
[fəuld] n.羊栏，畜栏；v.折叠
['fəuldə] n.文件夹，纸夹
['fəuliidʒ] n.叶子(总称)
['fəuklɔ:] n.民间传说；民俗学
['fɔli] n.愚蠢；愚蠢的行为，思想或做法
[fəu'ment] v.煽动，助长(坏事)
['fu:dstʌf] n.食料，食品
['fu:lpru:f] a.容易懂的，简易而不会误用的
['fɔpiʃ] a.浮华的，俗丽的
['fɔridʒ] n.(牛马的)饲料，粮草；v.搜寻，翻寻(尤指食物)
['fɔridʒə] n.为动物寻找饲料的人；粮草征发员；成散开横队的骑兵
[fɔ:'beərəns] n.自制，忍耐
[fə'bid] v.不许，禁止；妨碍，阻止
[fə'bidiŋ] a.(表情)冷峻的；形势险恶的
[fɔ:d] n.浅滩，水浅可涉处；v.涉水
[fɔ:'bəud] v.不祥预感，凶兆
['fɔ:kɑ:st] v.预报，预测；n.预测
[fɔ:'nɔlidʒ] n.（知识）预知
